Department,JobRole,AgeGroup,SalaryGroup,EstimatedMonthlySalary,BusinessTravel,OverTime,Attrition,Gender
Sales,Sales Executive,36-45,High,59930,Travel Rarely,Yes,Yes,Female
Research & Development,Research Scientist,46-60,High,51300,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,36-45,Low,20900,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,29090,Travel Frequently,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Medium,34680,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,30680,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,26700,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Low,26930,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,Very High,95260,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,36-45,High,52370,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,24260,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,41930,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,29110,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,26610,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,20280,Travel Rarely,Yes,Yes,Male
Research & Development,Manufacturing Director,26-35,Very High,99800,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,32980,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,18-25,Medium,29350,Non-Travel,Yes,No,Male
Sales,Manager,46-60,Very High,154270,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Medium,39440,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,18-25,Medium,40110,Non-Travel,No,No,Female
Sales,Sales Representative,36-45,Medium,34070,Travel Rarely,No,Yes,Male
Research & Development,Research Director,26-35,Very High,119940,Travel Rarely,No,No,Female
Research & Development,Research Scientist,18-25,Low,12320,Travel Rarely,No,No,Male
