Feature,SHAP_Value,Impact,EmployeeID,Rank,ActualAttrition,PredictedAttrition,Probability_of_Leaving,FinancialRisk,RiskCategory
Single,0.883,Increases Risk,1041,1,0,0,0.06491801106864294,98892.2,Medium
Sales Executive,0.696,Increases Risk,1041,2,0,0,0.06491801106864294,98892.2,Medium
JobSatisfaction,0.676,Increases Risk,1041,3,0,0,0.06491801106864294,98892.2,Medium
Sales Department,0.404,Increases Risk,1041,4,0,0,0.06491801106864294,98892.2,Medium
Travels Rarely,0.35,Increases Risk,1041,5,0,0,0.06491801106864294,98892.2,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1041,1,0,0,0.06491801106864294,98892.2,Medium
NumCompaniesWorked,-0.524,Reduces Risk,1041,2,0,0,0.06491801106864294,98892.2,Medium
Travels Frequently,-0.49,Reduces Risk,1041,3,0,0,0.06491801106864294,98892.2,Medium
Overtime,-0.409,Reduces Risk,1041,4,0,0,0.06491801106864294,98892.2,Medium
Medical,-0.343,Reduces Risk,1041,5,0,0,0.06491801106864294,98892.2,Medium
JobSatisfaction,0.676,Increases Risk,184,1,0,0,0.0026356017893615006,2111.12,Low
Manufacturing Director,0.541,Increases Risk,184,2,0,0,0.0026356017893615006,2111.12,Low
YearsInCurrentRole,0.375,Increases Risk,184,3,0,0,0.0026356017893615006,2111.12,Low
Travels Rarely,0.35,Increases Risk,184,4,0,0,0.0026356017893615006,2111.12,Low
TotalWorkingYears,0.32,Increases Risk,184,5,0,0,0.0026356017893615006,2111.12,Low
JobInvolvement,-0.61,Reduces Risk,184,1,0,0,0.0026356017893615006,2111.12,Low
EnvironmentSatisfaction,-0.588,Reduces Risk,184,2,0,0,0.0026356017893615006,2111.12,Low
Travels Frequently,-0.49,Reduces Risk,184,3,0,0,0.0026356017893615006,2111.12,Low
Single,-0.475,Reduces Risk,184,4,0,0,0.0026356017893615006,2111.12,Low
Age,-0.459,Reduces Risk,184,5,0,0,0.0026356017893615006,2111.12,Low
Human Resources,1.787,Increases Risk,1222,1,1,0,0.34261177611996835,95897.04,Medium
JobInvolvement,0.819,Increases Risk,1222,2,1,0,0.34261177611996835,95897.04,Medium
YearsInCurrentRole,0.73,Increases Risk,1222,3,1,0,0.34261177611996835,95897.04,Medium
TotalWorkingYears,0.557,Increases Risk,1222,4,1,0,0.34261177611996835,95897.04,Medium
DistanceFromHome,0.535,Increases Risk,1222,5,1,0,0.34261177611996835,95897.04,Medium
YearsAtCompany,-0.609,Reduces Risk,1222,1,1,0,0.34261177611996835,95897.04,Medium
EnvironmentSatisfaction,-0.588,Reduces Risk,1222,2,1,0,0.34261177611996835,95897.04,Medium
Travels Frequently,-0.49,Reduces Risk,1222,3,1,0,0.34261177611996835,95897.04,Medium
Single,-0.475,Reduces Risk,1222,4,1,0,0.34261177611996835,95897.04,Medium
